,County_FIPS,X,bc,Region,ORIG_FID_1,carbonprice,biomassprice,climate_benefit_cumulative,climate_benefit_per_year,sgarea,Negative_emissions_cumulative,Negative_emissions_per_year,year,biomassproduction,zerocb,costpertonne
38,1013,988,90 150,Southeast,16,90,150,3034.293795,241.4803504,139.8545794,1210.251896,96.31633308,2050,29056.39109,2749.140647,21.20532384
39,1013,1014,100 166,Southeast,16,100,166,3076.531375,246.1745349,142.5732404,1227.098686,98.18864544,2050,29460.85807,2749.140647,26.68006514
40,1013,1040,0 67,Southeast,16,0,67,2749.140647,211.0847313,122.2508013,1096.516324,84.19280186,2050,26325.76513,2749.140647,0
41,1013,1066,40 67,Southeast,16,40,67,2765.323966,212.6758285,123.1722933,1102.971168,84.82742346,2050,26480.73656,2749.140647,0.586899102
42,1013,1092,50 83,Southeast,16,50,83,2828.790857,219.2879151,127.0017171,1128.285436,87.4647061,2050,27088.49538,2749.140647,3.529701251
43,1015,1118,60 100,Appalachia,2,60,100,2026.68162,148.6641391,84.5359733,789.1383958,57.8860434,2050,19394.06992,1980.979118,3.474865954
44,1015,1144,70 116,Appalachia,2,70,116,2037.324245,149.5133906,85.01888942,793.2823641,58.21672041,2050,19495.91316,1980.979118,4.971948352
45,1015,1170,80 133,Appalachia,2,80,133,2047.225771,150.7097611,85.69919029,797.1377669,58.68255672,2050,19590.66454,1980.979118,6.648452112
46,1015,1196,90 150,Appalachia,2,90,150,2055.553305,151.4015876,86.09258861,800.3802974,58.95193639,2050,19670.35381,1980.979118,8.385609824
47,1015,1222,100 166,Appalachia,2,100,166,2067.212791,152.3228668,86.61646232,804.9202052,59.31065914,2050,19781.92776,1980.979118,10.71331946
48,1015,1248,0 67,Appalachia,2,0,67,1980.979118,144.8512055,82.36779709,771.3430011,56.40138383,2050,18956.72568,1980.979118,0
49,1015,1274,40 67,Appalachia,2,40,67,1986.363991,145.3324934,82.64147535,773.439734,56.58878513,2050,19008.25553,1980.979118,0.278489594
50,1015,1300,50 83,Appalachia,2,50,83,2007.474659,147.1680274,83.68522839,781.6596926,57.30349546,2050,19210.27137,1980.979118,1.694825872
51,1019,1326,60 100,Appalachia,2,60,100,5695.054181,467.8811797,279.485101,2364.904301,194.2903753,2050,53555.33034,5515.870693,4.546065254
52,1019,1352,70 116,Appalachia,2,70,116,5722.909694,471.1457527,281.4351677,2376.471465,195.6460082,2050,53817.2789,5515.870693,6.098423765
53,1019,1378,80 133,Appalachia,2,80,133,5746.502795,475.4171357,283.9866444,2386.268637,197.4197248,2050,54039.14444,5515.870693,7.731974457
54,1019,1404,90 150,Appalachia,2,90,150,5762.392839,477.4112527,285.1778143,2392.86707,198.2477934,2050,54188.57174,5515.870693,9.272137756
55,1019,1430,100 166,Appalachia,2,100,166,5784.122059,479.8308487,286.6231407,2401.890255,199.2525447,2050,54392.90967,5515.870693,11.16834399
56,1019,1456,0 67,Appalachia,2,0,67,5515.870693,447.3898204,267.2447505,2290.497318,185.7812194,2050,51870.319,5515.870693,0
57,1019,1482,40 67,Appalachia,2,40,67,5544.748793,450.6512956,269.1929668,2302.489116,187.135566,2050,52141.88378,5515.870693,0.501684877
58,1019,1508,50 83,Appalachia,2,50,83,5655.295711,463.4929072,276.8638013,2348.394366,192.4681197,2050,53181.44839,5515.870693,2.968517978
59,1021,1534,60 100,Southeast,16,60,100,804.3482085,61.13079533,32.93268087,291.4994825,22.1540808,2050,7409.837715,782.5244894,4.492025628
60,1021,1560,70 116,Southeast,16,70,116,806.8248295,61.34943165,33.0504657,292.3970213,22.23331561,2050,7432.652908,782.5244894,5.817514138
61,1021,1586,80 133,Southeast,16,80,133,808.6231212,61.68023902,33.22867986,293.0487305,22.35320172,2050,7449.219178,782.5244894,7.124721335
62,1021,1612,90 150,Southeast,16,90,150,809.4196681,61.74922334,33.26584343,293.3374027,22.37820195,2050,7456.557148,782.5244894,8.251815346
63,1021,1638,100 166,Southeast,16,100,166,811.2659497,61.8978529,33.34591388,294.0065037,22.43206599,2050,7473.565513,782.5244894,9.775790673
64,1021,1664,30 50,Southeast,16,30,50,777.7206117,58.6222041,31.58124034,281.8495192,21.24495583,2050,7164.538268,782.5244894,0
65,1021,1690,0 67,Southeast,16,0,67,782.5244894,59.1152718,31.84686818,283.5904665,21.42364582,2050,7208.792676,782.5244894,0
66,1021,1716,40 67,Southeast,16,40,67,785.992774,59.44749477,32.02584496,284.8473888,21.54404495,2050,7240.743299,782.5244894,0.487037588
67,1021,1742,50 83,Southeast,16,50,83,799.5416091,60.78991888,32.74904224,289.7575488,22.03054561,2050,7365.558234,782.5244894,2.936441142
